Movie Title,Year,Score TOMATOMETER,Score AUDIENCE,Directors,Starring
The Dark Knight,2008,94%,94%,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Mission: Impossible -- Ghost Protocol,2011,93%,76%,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton"
Fast Five,2011,78%,83%,Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson"
Lethal Weapon,1987,80%,86%,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan"
The Rock,1996,68%,85%,Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn"
RoboCop,1987,91%,84%,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy"
John Wick: Chapter 2,2017,89%,85%,Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio"
Casino Royale,2006,94%,90%,Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
Baby Driver,2017,92%,86%,Edgar Wright,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal"
Fist of Legend,1994,100%,92%,Gordon Chan,"Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata"
The Killer,1989,98%,92%,John Woo,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang"
The Raid 2,2014,82%,87%,Gareth Evans,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
Enter the Dragon,1973,95%,91%,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri"
Commando,1985,67%,67%,Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells"
First Blood,1982,86%,85%,Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso"
Mission: Impossible Rogue Nation,2015,94%,87%,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson"
The Terminator,1984,100%,89%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Gladiator,2000,79%,87%,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Kill Bill: Vol. 1,2003,85%,81%,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen"
The Professional,1994,74%,95%,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Speed,1994,94%,76%,Jan de Bont,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
Drunken Master II,1994,84%,88%,Chia-Liang Liu,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau"
John Wick,2014,86%,81%,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
"Crouching Tiger, Hidden Dragon",2000,97%,86%,Ang Lee,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang"
Predator,1987,80%,87%,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo"
The Bourne Ultimatum,2007,92%,91%,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn"
Total Recall,1990,83%,79%,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Mad Max 2: The Road Warrior,1981,94%,86%,George Miller,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells"
Heat,1995,88%,94%,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight"
The Raid: Redemption,2011,87%,87%,Gareth Huw Evans,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian"
Mission: Impossible -- Fallout,2018,97%,88%,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Raiders of the Lost Ark,1981,96%,96%,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler"
Aliens,1986,98%,94%,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Hard-Boiled,1992,94%,92%,John Woo,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai"
The Matrix,1999,88%,85%,Andy Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Terminator 2: Judgment Day,1991,93%,95%,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Die Hard,1988,94%,94%,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson"
Mad Max: Fury Road,2015,97%,86%,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne"
